image,label,x,y,w,h,colors,recorded
anemone-1.jpg,hair,500,300,24,24,3,#D6DCEA
anemone-1.jpg,eye,575,475,6,6,3,#6B6685
anemone-1.jpg,coat,500,650,20,20,3,#15131A
anemone-1.jpg,shoe,430,730,16,16,3,#DB2022
anemone-1.jpg,flower,350,340,10,10,3,#C44C5C
anemone-1.jpg,band,350,630,8,8,3,#2B2836
anemone-1.jpg,hairtip,300,600,12,12,3,#D4D7E3
anemone-1.jpg,backdrop,100,100,40,40,3,#E3E6F5
anemone-1.jpg,pants,500,720,8,8,3,#9F8DB3
anemone-1.jpg,eyeA,560,475,5,5,3,#B0BCD0
anemone-1.jpg,eyeB,578,485,5,5,3,#D0D1DF
anemone-1.jpg,hairlow,280,560,16,16,3,#B5B0B5
anemone-1.jpg,flowerpetal,340,320,5,5,3,#E6ECF9
anemone-3-blouson.jpg,body,600,500,24,24,3,#22222A
anemone-3-blouson.jpg,band,270,680,16,16,3,#F5F8FD
anemone-3-blouson.jpg,redtri,955,795,3,3,3,#B21D1E
anemone-3-blouson.jpg,background,100,100,40,40,3,#FCFDFF
anemone-5-anima-poster.jpg,hair,300,300,12,12,3,#977265
anemone-5-anima-poster.jpg,top,350,330,12,12,3,#384342
anemone-5-anima-poster.jpg,red,360,370,4,4,3,#5A6063
anemone-6-anima-bluray.jpg,hair,1000,700,24,24,3,#D9D4CF
anemone-6-anima-bluray.jpg,hairshadow,560,800,24,24,3,#4C504D
anemone-6-anima-bluray.jpg,eye,805,555,8,8,3,#A6ABC4
anemone-6-anima-bluray.jpg,top,700,820,20,20,3,#4D5859
anemone-6-anima-bluray.jpg,buckle,750,760,8,8,3,#525A5D
anemone-6-anima-bluray.jpg,red,650,900,6,6,3,#C84D4A
anemone-6-anima-bluray.jpg,red2,860,800,6,6,3,#9E3D3A
anemone-6-anima-bluray.jpg,ornament,600,430,10,10,3,#4D5151
anemone-6-anima-bluray.jpg,background,200,700,40,40,3,#E0DADC
anemone-6-anima-bluray.jpg,cloth,600,1150,24,24,3,#E3DEE6
anemone-6-anima-bluray.jpg,logo,700,200,10,10,3,#CED4DE
anemone-6-anima-bluray.jpg,eyeB,800,552,5,5,3,#AABACF
anemone-6-anima-bluray.jpg,bangs,900,450,24,24,3,#394646
anemone-6-anima-bluray.jpg,ring,905,415,6,6,3,#454E4E
anemone-6-anima-bluray.jpg,topB,900,850,20,20,3,#394445
